Wort Deutsch;Wort Pinyin ;Wortart;Satz Pinyin;Satz Deutsch;Wort Hanyu;Satz Hanyu;ID;Lektion
Er ist Deutscher.;Tā shì Déguórén.;;Tā shì Déguórén.;Er ist Deutscher.;他是德国人。;他是德国人。;LD03-1-09;LD0
Kann er Chinesisch sprechen?;Tā huì shuō Hànyǔ ma?;;Tā huì shuō Hànyǔ ma?;Kann er Chinesisch sprechen?;他会说汉语吗？;他会说汉语吗？;LD03-1-10;LD0
Nein. Er kann nicht Chinesisch sprechen, er kann ein bisschen Japanisch sprechen.;Bù, tā bù huì shuō Hànyǔ, tā huì shuō yīdiǎnr Rìyǔ.;;Bù, tā bù huì shuō Hànyǔ, tā huì shuō yīdiǎnr Rìyǔ.;Nein. Er kann nicht Chinesisch sprechen, er kann ein bisschen Japanisch sprechen.;不，他不会说汉语，他会说一点儿日语。;不，他不会说汉语，他会说一点儿日语。;LD03-1-11;LD0
Entschuldigung, woher kommst du?;Qǐng wèn, nǐ cóng nǎr lái?;;Qǐng wèn, nǐ cóng nǎr lái?;Entschuldigung, woher kommst du?;请问，你从哪儿来？;请问，你从哪儿来？;LD03-1-12;LD0
Ich komme aus London, England.;Wǒ cóng Yīngguó Lúndūn lái.;;Wǒ cóng Yīngguó Lúndūn lái.;Ich komme aus London, England.;我从英国伦敦来。;我从英国伦敦来。;LD03-1-13;LD0
Dein Chinesisch ist sehr gut.;Nǐ de Hànyǔ hěn hǎo.;;Nǐ de Hànyǔ hěn hǎo.;Dein Chinesisch ist sehr gut.;你的汉语很好。;你的汉语很好。;LD03-1-14;LD0
Nicht der Rede wert, ich lerne an der Universität Peking Chinesisch.;Nǎlǐ, nǎlǐ, wǒ zài Běijīng Dàxué xué Hànyǔ.;;Nǎlǐ, nǎlǐ, wǒ zài Běijīng Dàxué xué Hànyǔ.;Nicht der Rede wert, ich lerne an der Universität Peking Chinesisch.;哪里，哪里，我在北京大学学汉语。;哪里，哪里，我在北京大学学汉语。;LD03-1-15;LD0
Und du? Wo kommst du her?;Nǐ ne? Nǐ cóng nǎr lái?;;Nǐ ne? Nǐ cóng nǎr lái?;Und du? Wo kommst du her?;你呢？你从哪儿来？;你呢？你从哪儿来？;LD03-1-16;LD0
Ich komme aus Berlin, Deutschland.;Wǒ cóng Déguó Bólín lái.;;Wǒ cóng Déguó Bólín lái.;Ich komme aus Berlin, Deutschland.;我从德国柏林来。;我从德国柏林来。;LD03-1-17;LD0
Ich arbeite bei der Firma VW in Shanghai, China.;Wǒ zài Zhōngguó Shànghǎi Dàzhòng gōngsī gōngzuò.;;Wǒ zài Zhōngguó Shànghǎi Dàzhòng gōngsī gōngzuò.;Ich arbeite bei der Firma VW in Shanghai, China.;我在中国上海大众公司工作。;我在中国上海大众公司工作。;LD03-1-18;LD0
Das ist mein Freund.;Zhè shì wǒ de péngyou.;;Zhè shì wǒ de péngyou.;Das ist mein Freund.;这是我的朋友。;这是我的朋友。;LD03-1-19;LD0
Wer ist das?;Zhè shì shéi?;;Zhè shì shéi?;Wer ist das?;这是谁？;这是谁？;LD03-1-20;LD0
Woher kommt sie?;Tā cóng nǎlǐ lái?;;Tā cóng nǎlǐ lái?;Woher kommt sie?;她从哪里来？;她从哪里来？;LD03-1-21;LD0
Sie kommt aus Deutschland.;Tā cóng Déguó lái.;;Tā cóng Déguó lái.;Sie kommt aus Deutschland.;她从德国来。;她从德国来。;LD03-1-22;LD0
Ich bin Chinese.;Wǒ shì Zhōngguórén.;;Wǒ shì Zhōngguórén.;Ich bin Chinese.;我是中国人。;我是中国人。;LD03-1-23;LD0
Welche Staatsangehörigkeit hast du?;Nǐ shì shénme guójiā de rén?;;Nǐ shì shénme guójiā de rén?;Welche Staatsangehörigkeit hast du?;你是什么国家的人？;你是什么国家的人？;LD03-1-24;LD0
Wo ist Lehrer Deng?;Dèng lǎoshī zài nǎlǐ?;;Dèng lǎoshī zài nǎlǐ?;Wo ist Lehrer Deng?;邓老师在哪里？;邓老师在哪里？;LD03-1-25;LD0
Lehrer Deng befindet sich an der Uni.;Dèng lǎoshī zài dàxué.;;Dèng lǎoshī zài dàxué.;Lehrer Deng befindet sich an der Uni.;邓老师在大学。;邓老师在大学。;LD03-1-26;LD0
Wo ist China?;Zhōngguó zài nǎr?;;Zhōngguó zài nǎr?;Wo ist China?;中国在哪儿？;中国在哪儿？;LD03-1-27;LD0
Peking liegt in China.;Běijīng zài Zhōngguó.;;Běijīng zài Zhōngguó.;Peking liegt in China.;北京在中国。;北京在中国。;LD03-1-28;LD0
Ich kann Englisch sprechen.;Wǒ huì shuō Yīngyǔ.;;Wǒ huì shuō Yīngyǔ.;Ich kann Englisch sprechen.;我会说英语。;我会说英语。;LD03-1-29;LD0
Kommst du aus Peking?;Nǐ cóng Běijīng lái ma?;;Nǐ cóng Běijīng lái ma?;Kommst du aus Peking?;你从北京来吗？;你从北京来吗？;LD03-1-30;LD0
Ich lerne Chinesisch.;Wǒ xuéxí Hànyǔ.;;Wǒ xuéxí Hànyǔ.;Ich lerne Chinesisch.;我学习汉语。;我学习汉语。;LD03-1-31;LD0
Sie arbeitet bei der Firma VW.;Tā zài Dàzhòng gōngzuò.;;Tā zài Dàzhòng gōngzuò.;Sie arbeitet bei der Firma VW.;她在大众工作。;她在大众工作。;LD03-1-32;LD0
* Lektion 4;*Lektion 4;* Lektion 4;*Lektion 4;*Lektion 4;*Lektion 4;*Lektion 4;L04-1-00;L04
Partikel für Vorschlag, Zustimmung;ba;Modalpartikel;Wǒmen zǒu ba.;Lass uns gehen.;吧;我们走吧。;L04-1-01;L04
acht;bā;Zahlwort;Míngtiān wǒ bā diǎn yǒu yuē.;Morgen habe ich um acht Uhr eine Verabredung.;八;明天我八点有约。;L04-1-02;L04
halb;bàn;Adverb;Xiànzài liù diǎn bàn.;Es ist jetzt halb sieben.;半;现在六点半。;L04-1-03;L04
Mal;biàn;Subst.;Zài kàn yí biàn.;Es noch einmal sehen.;遍;再看一遍。;L04-1-04;L04
Keine Ursache!;bù kèqì;Phrase;Nǐ bù yòng xièxie, bù kèqì.;Du brauchst dich nicht zu bedanken.;不客气;你不用谢谢, 不客气。;L04-1-05;L04
aber;dànshì;Konjunktion;Wǒ xiǎng qù, dànshì wǒ méiyǒu shíjiān.;Ich möchte gehen, aber ich habe keine Zeit.;但是;我想去，但是我没有时间。;L04-1-06;L04
warten;děng;Verb;Wǒ zài děng chē.;Ich warte auf den Bus.;等;我在等车。;L04-1-07;L04
Uhr / Uhrzeit;diǎn/diǎnzhōng;Subst.;Xiànzài shì bā diǎnzhōng.;Jetzt ist es acht Uhr.;点/点钟;现在是八点钟。;L04-1-08;L04
Film;diànyǐng;Subst.;Wǒmen kàn diànyǐng.;Wir schauen einen Film.;电影;我们看电影。;L04-1-09;L04
Entschuldigung;duìbuqǐ;Phrase;Duìbuqǐ, wǒ chídào le.;Entschuldigung, ich bin spät dran.;对不起;对不起，我迟到了。;L04-1-10;L04
zwei;èr / liǎng;Zahlwort;liǎng gè rén.;Zwei Personen.;二;两个人;L04-1-11;L04
Minute;fēn/fēnzhōng;Subst.;Yī fēnzhōng yǒu liùshí miǎo.;Eine Minute hat sechzig Sekunden.;分/分钟;一分钟有六十秒。;L04-1-12;L04
"mit (jm.); folgen";gēn;Präposition;Wǒ gēn tā qù kàn diànyǐng.;Ich gehe mit ihr Film schauen.;跟;我跟她去看电影。;L04-1-13;L04
noch;hái;Adverb;Wǒ hái yào yī bēi shuǐ.;Ich möchte noch ein Glas Wasser.;还;我还要一杯水。;L04-1-14;L04
"Tag; Nummer, Größe";hào;Subst.;Jīntiān shì qī yuè shíhào.;Heute ist der 10. Juli.;号;今天是七月十号。;L04-1-15;L04
wie viel?;jǐ;Fragewort;Nǐ yǒu jǐ gè píngguǒ?;Wie viele Äpfel hast du?;几;你有几个苹果？;L04-1-16;L04
heute;jīntiān;Adverb;Jīntiān tiānqì hěn hǎo.;Heute ist das Wetter sehr gut.;今天;今天天气很好。;L04-1-17;L04
neun;jiǔ;Zahlwort;Jiǔ zhī gǒu.;Neun Hunde.;九;九只狗。;L04-1-18;L04
Café;kāfēiguǎn;Subst.;Wǒ zài kāfēiguǎn hē kāfēi.;Ich trinke Kaffee im Café.;咖啡馆;我在咖啡馆喝咖啡。;L04-1-19;L04
"sehen, anschauen; lesen; besuchen";kàn;Verb;Kàn shū.;Ein Buch lesen.;看;看书。;L04-1-20;L04
Viertelstunde;kè/kè zhōng;Subst.;Yī kè zhōng shì shíwǔ fēn.;Eine Viertelstunde sind fünfzehn Minuten.;刻/刻钟;一刻钟是十五分。;L04-1-21;L04
null;líng;Zahlwort;Líng xià .;unten Null Grad.;零;零下。;L04-1-22;L04
sechs;liù;Zahlwort;Liù yuè.;Juni.;六;六月。;L04-1-23;L04
nicht;méi;Adverb;Wǒ méi chīfàn.;Ich habe nicht gegessen.;没;我没吃饭。;L04-1-24;L04
Keine Ursache! Macht nichts!;méiguānxi;Phrase;Méiguānxi, wǒ kěyǐ děng.;Kein Problem, ich kann warten.;没关系;没关系，我可以等。;L04-1-25;L04
"nicht haben; es gibt kein...";méiyǒu;Verb;Tā méiyǒu shū.;Sie hat kein Buch.;没有;她没有书。;L04-1-26;L04
morgen;míngtiān;Adverb;Míngtiān wǒ yào qù Běijīng.;Morgen werde ich nach Peking gehen.;明天;明天我要去北京。;L04-1-27;L04
Jahr;nián;Subst.;Jīnnián shì èr líng èr sì nián.;Dieses Jahr ist 2024.;年;今年是二零二四年。;L04-1-28;L04
Frau;nǚrén;Subst.;Zhège nǚrén hěn hǎo.;Diese Frau ist sehr nett.;女人;这个女人很好。;L04-1-29;L04
hübsch, schön;piàoliang;Adjektiv;Tā hěn piàoliang.;Sie ist sehr hübsch.;漂亮;她很漂亮。;L04-1-30;L04
sieben;qī;Zahlwort;Qī zhǒng yào.;Sieben Arten von Medizin.;七;七种药。;L04-1-31;L04
"bitte...; bitten; einladen";qǐng;Verb;Qǐng nǐ zuò zhèlǐ.;Bitte setzen Sie sich hierher.;请;请你坐这里。;L04-1-32;L04
nach ... gehen, zu ... hin;qù;Verb;Wǒ míngtiān qù Běijīng.;Ich gehe morgen nach Peking.;去;我明天去北京。;L04-1-33;L04
Tag;rì;Subst.;Jīntiān shì shíyuè shísì rì.;Heute ist der 14. Oktober.;日;今天是十月十四日。;L04-1-34;L04
Kalender;rìlì;Subst.;Qǐng kàn rìlì.;Bitte schau auf den Kalender.;日历;请看日历。;L04-1-35;L04
drei;sān;Zahlwort;Sān gè rén.;Drei Personen.;三;三个人。;L04-1-36;L04
Vormittag;shàngwǔ;Subst.;Shàngwǔ wǒ zài bàngōngshì.;Vormittags bin ich im Büro.;上午;上午我在办公室。;L04-1-37;L04
zehn;shí;Zahlwort;Shí fēnzhōng.;Zehn Minuten.;十;十分钟。;L04-1-38;L04
"Zeit; Zeitdauer";shíjiān;Subst.;Wǒ yǒu hěnduō shíjiān.;Ich habe viel Zeit.;时间;我有很多时间。;L04-1-39;L04
Sache, Angelegenheit;shìqíng/shì;Subst.;Tā yǒu hěnduō shìqíng yào zuò.;Er hat viele Dinge zu erledigen.;事情/事;他有很多事情要做。;L04-1-40;L04
vier;sì;Zahlwort;Sì nián.;Vier Jahre.;四;四年。;L04-1-41;L04
Abend;wǎnshàng;Subst.;Wǎnshàng wǒmen qù kàn diànyǐng.;Abends gehen wir ins Kino.;晚上;晚上我们去看电影。;L04-1-42;L04
fünf;wǔ;Zahlwort;Wǔ kuài qián.;Fünf Yuan.;五;五块钱。;L04-1-43;L04
wollen, möchten, vermissen, denken;xiǎng;Verb;Wǒ xiǎng chī zhōngcān.;Ich möchte chinesisches Essen essen.;想;我想吃中餐。;L04-1-44;L04
jetzt;xiànzài;Adverb;Xiànzài wǒ zài xuéxiào.;Ich bin jetzt in der Schule.;现在;现在我在学校。;L04-1-45;L04
Nachmittag;xiàwǔ;Subst.;Xiàwǔ sān diǎn bàn.;Drei Uhr dreißig nachmittags.;下午;下午三点半。;L04-1-46;L04
Woche;xīngqī;Subst.;Xīngqīsān wǒmen jiànmiàn.;Wir treffen uns am Mittwoch.;星期;星期三我们见面。;L04-1-47;L04
Dienstag;Xīngqī èr;Subst.;Xīngqī èr wǒ yào qù kàn yīshēng.;Dienstag habe ich einen Arzttermin.;星期二;星期二我有一个医生约会。;L04-1-48;L04
Samstag;Xīngqī liù;Subst.;Xīngqī liù wǒmen qù páshān.;Samstag gehen wir bergsteigen.;星期六;星期六我们去爬山。;L04-1-49;L04
Mittwoch;xīngqī sān ;Subst.;Nǐ xīngqī sān yǒu kòng ma?;Hast du am Mittwoch Zeit?;星期三;你星期三有空吗？;L04-1-50;L04
Montag;Xīngqī yī;Subst.;Míngtiān shì xīngqī yī.;Morgen ist Montag.;星期一;明天是星期一。;L04-1-51;L04
Sonntag;xīngqī tiān / xīngqīrì;Subst.;Míngtiān shì xīngqī tiān.;Morgen ist Sonntag.;星期天 / 星期日;明天是星期天。;L04-1-52;L04
Donnerstag;xīngqīsì;Subst.;Míngtiān shì xīngqī sì.;Morgen ist Donnerstag.;星期四;明天是星期四。;L04-1-53;L04
Freitag;xīngqīwǔ;Subst.;Míngtiān shì xīngqī wǔ.;Morgen ist Freitag.;星期五;明天是星期五。;L04-1-54;L04
"wollen; müssen";yào;Modalverb;Wǒ yào mǎi zhè ge.;Ich möchte das kaufen.;要;我要买这个。;L04-1-55;L04
eins;yī;Zahlwort;Yī bēi shuǐ.;Ein Glas Wasser.;一;一杯水。;L04-1-56;L04
zusammen;yīqǐ;Adverb;Wǒmen yīqǐ qù.;Wir gehen zusammen.;一起;我们一起去。;L04-1-57;L04
haben, es gibt, besitzen;yǒu;Verb;Tā yǒu yī liàng chē.;Er hat ein Auto.;有;他有一辆车。;L04-1-58;L04
Monat;yuè;Subst.;Xià gè yuè wǒ yào qù Zhōngguó.;Nächsten Monat fahre ich nach China.;月;下个月我要去中国。;L04-1-59;L04
sich verabreden, Verabredung;yuēhuì;Subst.;Tāmen zài yuēhuì.;Sie sind bei einem Date.;约会;他们在约会。;L04-1-60;L04
wieder, noch, dann;zài;Adverb;Zài kàn yí cì.;Es noch einmal sehen.;再;再看一次。;L04-1-61;L04
"eilig, hastig; sich Sorgen machen";zháojí;Adjektiv;Tā hěn zháojí.;Sie ist sehr besorgt.;着急;她很着急。;L04-1-62;L04
wissen;zhīdào;Verb;Wǒ zhīdào nǐ de míngzi.;Ich kenne deinen Namen.;知道;我知道你的名字。;L04-1-63;L04
Mittag;zhōngwǔ;Subst.;Zhōngwǔ wǒmen chī zhōngcān.;Mittags essen wir Mittagessen.;中午;中午我们吃中餐。;L04-1-64;L04
* Lektion 4 Dialoge;*Lektion 4 Dialoge;* Lektion 4 Dialoge;*Lektion 4 Dialoge;*Lektion 4 Dialoge;*Lektion 4 Dialoge;*Lektion 4 Dialoge;LD04-1-00;LD0
Entschuldigung, wie viel Uhr ist es?;Duìbuqǐ, jǐ diǎn le?;;Duìbuqǐ, jǐ diǎn le?;Entschuldigung, wie viel Uhr ist es?;对不起，几点了？;对不起，几点了？;LD04-1-01;LD0
Es ist jetzt halb eins.;Xiànzài shí'èr diǎn bàn.;;Xiànzài shí'èr diǎn bàn.;Es ist jetzt halb eins.;现在十二点半。;现在十二点半。;LD04-1-02;LD0
Entschuldigung, bitte sag es noch einmal.;Duìbuqǐ, qǐng zài shuō yī biàn.;;Duìbuqǐ, qǐng zài shuō yī biàn.;Entschuldigung, bitte sag es noch einmal.;对不起，请再说一遍。;对不起，请再说一遍。;LD04-1-03;LD0
Es ist 12 Uhr 30 am Mittag.;Xiànzài shì zhōngwǔ shí'èr diǎn sānshí fēn.;;Xiànzài shì zhōngwǔ shí'èr diǎn sānshí fēn.;Es ist 12 Uhr 30 am Mittag.;现在是中午十二点三十分。;现在是中午十二点三十分。;LD04-1-04;LD0
Danke dir!;Xièxiè nǐ!;;Xièxiè nǐ!;Danke dir!;谢谢你！;谢谢你！;LD04-1-05;LD0
Keine Ursache! Was hast du vor?;Méi guānxì! Nǐ yǒu shénme shì ma?;;Méi guānxì! Nǐ yǒu shénme shì ma?;Keine Ursache! Was hast du vor?;没关系！你有什么事吗？;没关系！你有什么事吗？;LD04-1-06;LD0
Heute Nachmittag um 4 Uhr 45 wartet mein Freund im Cafe auf mich.;Jīntiān xiàwǔ sì diǎn sìshíwǔ fēn, wǒ de péngyou zài kāfēiguǎn děng wǒ.;;Jīntiān xiàwǔ sì diǎn sìshíwǔ fēn, wǒ de péngyou zài kāfēiguǎn děng wǒ.;Heute Nachmittag um 4 Uhr 45 wartet mein Freund im Cafe auf mich.;今天下午四点四十五分，我的朋友在咖啡馆等我。;今天下午四点四十五分，我的朋友在咖啡馆等我。;LD04-1-07;LD0
Du bist mit einem Freund verabredet. Keine Eile, du hast noch Zeit.;Nǐ yǒu yīgè péngyou hé yuēhuì. Méiyǒu jíxù, nǐ hái yǒu shíjiān.;;Nǐ yǒu yīgè péngyou hé yuēhuì. Méiyǒu jíxù, nǐ hái yǒu shíjiān.;Du bist mit einem Freund verabredet. Keine Eile, du hast noch Zeit.;你有一个朋友和约会。没有急需，你还有时间。;你有一个朋友和约会。没有急需，你还有时间。;LD04-1-08;LD0
Hast du morgen Zeit?;Míngtiān nǐ yǒu shíjiān ma?;;Míngtiān nǐ yǒu shíjiān ma?;Hast du morgen Zeit?;明天你有时间吗？;明天你有时间吗？;LD04-2-01;LD0
Welches Datum ist morgen? (wörtlich: welcher Monat, welcher Tag);Míngtiān shì jǐ yuè jǐ hào?;;Míngtiān shì jǐ yuè jǐ hào?;Welches Datum ist morgen? (wörtlich: welcher Monat, welcher Tag);明天是几月几号？;明天是几月几号？;LD04-2-02;LD0
Welcher Wochentag ist morgen?;Míngtiān shì xīngqī jǐ?;;Míngtiān shì xīngqī jǐ?;Welcher Wochentag ist morgen?;明天是星期几？;明天是星期几？;LD04-2-03;LD0
Morgen ist Sonntag, der 7.12.;Míngtiān shì xīngqīrì, shí'èr yuè qī hào.;;Míngtiān shì xīngqīrì, shí'èr yuè qī hào.;Morgen ist Sonntag, der 7.12.;明天是星期日，十二月七号。;明天是星期日，十二月七号。;LD04-2-04;LD0
Jetzt weiß ich das noch nicht, ich muss kurz in meinen Kalender schauen.;Xiànzài wǒ hái bù zhīdào, wǒ yào kàn yīxià wǒ de rìlì.;;Xiànzài wǒ hái bù zhīdào, wǒ yào kàn yīxià wǒ de rìlì.;Jetzt weiß ich das noch nicht, ich muss kurz in meinen Kalender schauen.;现在我还不知道，我要看一下我的日历。;现在我还不知道，我要看一下我的日历。;LD04-2-05;LD0
Was hast du vor?;Nǐ yǒu shénme shì ma?;;Nǐ yǒu shénme shì ma?;Was hast du vor?;你有什么事吗？;你有什么事吗？;LD04-2-06;LD0
Morgen Abend gehe ich mit Freunden zusammen ins Kino.;Míngtiān wǎn wǒ hé péngyou qù kàn diànyǐng.;;Míngtiān wǎn wǒ hé péngyou qù kàn diànyǐng.;Morgen Abend gehe ich mit Freunden zusammen ins Kino.;明天晚我和朋友去看电影。;明天晚我和朋友去看电影。;LD04-2-07;LD0
Willst du mit hingehen?;Nǐ yào hé wǒ yīqǐ qù ma?;;Nǐ yào hé wǒ yīqǐ qù ma?;Willst du mit hingehen?;你要和我一起去吗？;你要和我一起去吗？;LD04-2-08;LD0
Was für einen Film schaut ihr?;Nǐmen kàn shénme diànyǐng?;;Nǐmen kàn shénme diànyǐng?;Was für einen Film schaut ihr?;你们看什么电影？;你们看什么电影？;LD04-2-09;LD0
Wir schauen den amerikanischen Film „Pretty Woman”.;"Wǒmen kàn měiguó diànyǐng ""Pretty Woman"".";;"Wǒmen kàn měiguó diànyǐng ""Pretty Woman"".";Wir schauen den amerikanischen Film „Pretty Woman”.;我们看美国电影《Pretty Woman》。;我们看美国电影《Pretty Woman》。;LD04-2-10;LD0
Den möchte ich auch gerne sehen.;Wǒ yě xiǎng kàn.;;Wǒ yě xiǎng kàn.;Den möchte ich auch gerne sehen.;我也想看。;我也想看。;LD04-2-11;LD0
Aber morgen Abend habe ich keine Zeit, am Vormittag habe ich Zeit.;Dàn míngtiān wǎn wǒ méiyǒu kòng, zǎoshang wǒ yǒu kòng.;;Dàn míngtiān wǎn wǒ méiyǒu kòng, zǎoshang wǒ yǒu kòng.;Aber morgen Abend habe ich keine Zeit, am Vormittag habe ich Zeit.;但明天晚我没有空，早上我有空。;但明天晚我没有空，早上我有空。;LD04-2-12;LD0
Das macht nichts, wir sprechen später darüber.;Méi guānxì, wǒmen hòulái zài shuō.;;Méi guānxì, wǒmen hòulái zài shuō.;Das macht nichts, wir sprechen später darüber.;没关系，我们后来再说。;没关系，我们后来再说。;LD04-2-13;LD0
* Lektion 5;*Lektion 5;* Lektion 5;*Lektion 5;*Lektion 5;*Lektion 5;*Lektion 5;L05-1-00;L05
hundert;bǎi;Zahlwort;Zhè běn shū yào yī bǎi yuán.;Dieses Buch kostet hundert Yuan.;百;这本书要一百元。;L05-1-01;L05
Formular;biǎogé;Subst.;Qǐng tiánxie biǎogé.;Bitte füllen Sie das Formular aus.;表格;请填写表格。;L05-1-02;L05
Hotel;bīnguǎn;Subst.;Wǒ zài bīnguǎn zhù le yí yè.;Ich habe eine Nacht im Hotel verbracht.;宾馆;我在宾馆住了一夜。;L05-1-03;L05
Einzel-;dān;Adjektiv;Nǐ yào dān rén fángjiān háishì shuāng rén fángjiān?;Möchten Sie ein Einzelzimmer oder ein Doppelzimmer?;单;你要单人房还是双人房？;L05-1-04;L05
gegenüber, gegenüberliegende Seite;duìmiàn;Adverb;Yínháng zài yóujú de duìmiàn.;Die Bank ist gegenüber der Post.;对面;银行在邮局的对面。;L05-1-05;L05
wie viel?;duōshǎo/ jǐ ;Fragewort;Nǐ yào zhù jǐ tiān?;Wie viele Tage möchten Sie bleiben?;多少;你要住几天？;L05-1-06;L05
Zimmer;fángjiān;Subst.; Qǐngwèn, zhèr yǒu kòng fángjiān ma?;Entschuldigung, gibt es hier ein freies Zimmer?;房间;请问，这儿有空房间吗？;L05-1-07;L05
ZEW für Geld;fēn;Subst.;Tā yǒu wǔ fēn.;Sie hat fünf fēn.;分;她有五分。;L05-1-08;L05
bezahlen;fù/fù qián;Verb;Wǒ yào fù qián.;Ich muss bezahlen.;付/付钱;我要付钱。;L05-1-09;L05
in der Nähe, direkte Umgebung;fùjìn;Adverb;Wǒmen fùjìn yǒu yī jiā yínháng. ;In unserer Nähe gibt es eine Bank.;附近;我们附近有一家银行。;L05-1-10;L05
Stück, Anzahl „Stück“;gè;Zähleinwort;Zhè bīnguǎn yǒu yī bǎi gè fángjiān.;Dieses Hotel hat 100 Zimmer.;个;这宾馆有一百个房间。;L05-1-11;L05
oder;háishì;Konjunktion;Nǐ xiǎng chī zhège háishì nàge?;Möchtest du dieses oder jenes essen?;还是;你想吃这个还是那个？;L05-1-12;L05
wechseln;huàn;Verb;Zài nǎr néng huàn qián?;Wo kann ich Geld wechseln?;换;在哪儿能换钱？;L05-1-13;L05
ZEW für Zimmer;jiān;Zähleinwort;Wǒ xiǎng yào liǎng jiān shuāng rén fángjiān.;Ich möchte zwei Doppelzimmer.;间;我想要两间双人房。;L05-1-14;L05
ZEW für Geld (= 10 fēn);jiǎo/máo;Subst.;Yī yuán shì shí jiǎo.;Ein Yuan sind zehn Jiao.;角/毛;一元是十角。;L05-1-15;L05
Karte (Kredit-, Zugangskarte u.ä.);kǎ;Subst.;Wǒ kěyǐ zài zhèlǐ shuā kǎ ma?;Kann ich hier mit Karte bezahlen?;卡;我可以在这里刷卡吗？;L05-1-16;L05
dürfen, können;kěyǐ;Modalverb;Wǒ kěyǐ bāng nín ma?;Darf ich ihnen helfen?;可以;我可以帮您吗？;L05-1-17;L05
leer, frei;kōng;Adjektiv;Nín hái yǒu kòng fángjiān ma?;Haben Sie noch ein Zimmer frei?;空;您还有空房间吗？;L05-1-18;L05
Aspektpartikel;le;Partikel;Wǒ mǎi le yī bēi kāfēi.;Ich habe eine Tasse Kaffee gekauft.;了;我买了一杯咖啡。;L05-1-19;L05
zwei;liǎng;Zahlwort;Wǒ xiǎng zhù liǎng tiān.;Ich möchte zwei Tage bleiben.;两;我想住两天。;L05-1-20;L05
"Gebäude; ZEW für Etage";lóu;Subst.;Wǒ zhù zài sān hào lóu.;Ich wohne im Gebäude Nummer drei.;楼;我住在三号楼。;L05-1-21;L05
können;néng;Modalverb;Wǒmen míngtiān néng qù.;Wir können morgen gehen.;能;我们明天能去。;L05-1-22;L05
Euro;ōuyuán;Subst.;Wǒ kěyǐ zài nǎlǐ huàn ōuyuán?;Wo kann ich Euro wechseln?;欧元;我可以在哪里换欧元？;L05-1-23;L05
billig;piányi;Adjektiv;Zhège fángjiān hěn piányí.;Dieses Zimmer ist sehr billig.;便宜;这个房间很便宜。;L05-1-24;L05
Geld;qián;Subst.;Wǒ zài nǎlǐ kěyǐ huàn qián?;Wo kann ich Geld wechseln?;钱;我在哪里可以换钱？;L05-1-25;L05
tausend;qiān;Zahlwort;Wǒmen xuéxiào yǒu yīqiān gè xuéshēng.;Unsere Schule hat 1000 Schüler.;千;我们学校有一千个学生。;L05-1-26;L05
holen, abholen;qǔ;Verb;Wǒ qù qǔ jǐ běn shū.;Ich gehe, um einige Bücher zu holen.;取;我去取几本书。;L05-1-27;L05
RMB / CNY;rénmínbì;Subst.;Wǒ xiǎng huàn yī diǎn rénmínbì.;Ich möchte etwas chinesisches Geld wechseln.;人民币;我想换一点人民币。;L05-1-28;L05
mit Karte bezahlen;shuā kǎ;Verb;Qǐng shuā kǎ zhīfù.;Bitte zahlen Sie mit Karte.;刷卡;请刷卡支付。;L05-1-29;L05
"Doppel-; ZEW für Paare";shuāng;Adjektiv;Wǒ xiǎng yào yī jiān shuāng rén fángjiān.;Ich möchte ein Doppelzimmer.;双;我想要一间双人房。;L05-1-30;L05
ausfüllen;tián;Verb;Qǐng tián xià biǎogé.;Bitte füllen Sie das Formular aus.;填;请填写表格。;L05-1-31;L05
Tag;tiān;Subst.;Yī tiān yào duōshǎo qián?;Wie viel kostet das pro Tag?;天;一天要多少钱？;L05-1-32;L05
O.K., in Ordnung, das geht;xíng;Verb;Shì de, xíng.;Ja, das ist in Ordnung.;行;是的，行。;L05-1-33;L05
haben wollen, brauchen;yào;Verb;Wǒ yào yī bēi kāfēi.;Ich möchte eine Tasse Kaffee.;要;我想要一杯咖啡。;L05-1-34;L05
insgesamt;yīgòng;Adverb;Zhèxiē shū yīgòng duōshǎo qián?;Wie viel kosten diese Bücher insgesamt?;一共;这些书一共多少钱？;L05-1-35;L05
Bank;yínháng;Subst.;Wǒ zài yínháng qǔ qián.;Ich hebe Geld von der Bank ab.;银行;我在银行取钱。;L05-1-36;L05
über (einer bestimmten Menge);yǐshàng;Präposition;Wǒmen xuéxiào yǒu sānqiān xuéshēng yǐshàng. ;Unsere Schule hat mehr als dreitausend Schüler. ;以上;我们学校有三千多个学生。;L05-1-37;L05
"mit (etw.); benutzen, gebrauchen";yòng;Verb;Wǒ yòng diànnǎo gōngzuò.;Ich arbeite mit einem Computer.;用;我用电脑工作。;L05-1-38;L05
ZEW für Geld (= 10 jiǎo);yuán;Subst.;Zhè běn shū yào wǔshí yuán.;Dieses Buch kostet 50 Yuan.;元;这本书要五十元。;L05-1-39;L05
ZEW für Geld (= 10 jiǎo);kuài;Subst.;Zhè běn shū yào èrshí kuài qián.;Dieses Buch kostet 20 Yuan.;块;这本书要二十块钱。;L05-1-40;L05
so, so sehr;zhème;Adverb;Tā zhème gāoxìng.;Sie ist so glücklich.;这么;她这么高兴。;L05-1-41;L05
wohnen;zhù;Verb;Wǒ zhù zài yīhào lóu.;Ich wohne im ersten Stock.;住;我住在一楼。;L05-1-42;L05
